date,station_id_216,Cumulative216,station_id_2947,Cumulative2947,station_id_5468,Cumulative5468,station_id_1300,Cumulative1300,station_id_2483,Cumulative2483,station_id_3215,Cumulative3215,station_id_4488,Cumulative4488,station_id_6264,Cumulative6264,station_id_7330,Cumulative7330
2018-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-22,2.5,2.5,6.1,6.1,0.5,0.5,5.3,5.3,10.2,10.2,1.4,1.4,6.6,6.6,5.3,5.3,3.2,3.2
2018-04-23,1.1,3.6,0.9,7,0.4,0.9,1.7,7,0.6,10.8,0,1.4,0.6,7.2,0.7,6,1.7,4.9
2018-04-24,0,3.6,0,7,0,0.9,0.1,7.1,0,10.8,0,1.4,0,7.2,0.1,6.1,0,4.9
2018-04-25,1.6,5.2,1.3,8.3,0.1,1,4,11.1,2.4,13.2,0.1,1.5,1.3,8.5,3,9.1,4.5,9.4
2018-04-26,3.7,8.9,3.6,11.9,1.8,2.8,10.7,21.8,6.3,19.5,3.6,5.1,7.7,16.2,5.6,14.7,10.5,19.9
2018-04-27,0,8.9,0,11.9,0,2.8,0,21.8,0.2,19.7,0.1,5.2,0,16.2,0,14.7,0,19.9
2018-04-28,0,8.9,0,11.9,0,2.8,0,21.8,0.1,19.8,0.3,5.5,0,16.2,0,14.7,0,19.9
2018-04-29,1.1,10,0.8,12.7,1.3,4.1,1.4,23.2,1,20.8,0.2,5.7,0.5,16.7,1.3,16,0.8,20.7
2018-04-30,0.9,10.9,0.5,13.2,3.1,7.2,0.6,23.8,0.8,21.6,0.1,5.8,0.5,17.2,0.2,16.2,0.3,21
2018-05-01,2.5,13.4,1.2,14.4,0.6,7.8,2.2,26,0.4,22,0,5.8,0.3,17.5,0,16.2,1.4,22.4
2018-05-02,0,13.4,0,14.4,0,7.8,0,26,0,22,0,5.8,0,17.5,0,16.2,0,22.4
2018-05-03,0,13.4,0,14.4,0,7.8,0,26,0,22,0,5.8,0,17.5,0,16.2,0,22.4
2018-05-04,0,13.4,0,14.4,0,7.8,0,26,0,22,0,5.8,0,17.5,0,16.2,0,22.4
2018-05-05,0,13.4,0,14.4,0,7.8,0,26,0,22,0,5.8,0,17.5,0,16.2,0,22.4
2018-05-06,0,13.4,0,14.4,0,7.8,0,26,0,22,0,5.8,0,17.5,0,16.2,0,22.4
2018-05-07,0,13.4,0,14.4,0,7.8,0,26,0,22,0,5.8,0,17.5,0,16.2,0,22.4
2018-05-08,0,13.4,0,14.4,0,7.8,0,26,0,22,0,5.8,0,17.5,0,16.2,0,22.4
2018-05-09,0,13.4,0,14.4,0,7.8,0,26,0,22,0,5.8,0,17.5,0,16.2,0,22.4
2018-05-10,11.5,24.9,8.6,23,3.1,10.9,1.6,27.6,0,22,0,5.8,2.4,19.9,0,16.2,9.3,31.7
2018-05-11,0,24.9,0,23,0,10.9,0,27.6,0,22,0,5.8,0,19.9,0,16.2,0,31.7
2018-05-12,0,24.9,0,23,0,10.9,0,27.6,0,22,0,5.8,0,19.9,0,16.2,0,31.7
2018-05-13,17.3,42.2,24.6,47.6,8,18.9,0,27.6,36.2,58.2,14.8,20.6,31.9,51.8,18.5,34.7,25.3,57
